Organization,Feedback Content,Feedback Link,Page
Koalicja AI w Zdrowiu & Grupa Robocza ds. Sztucznej Inteligencji - sekcja ds. zdrowia (Poland),"I submit the position towards the European Commission's proposal for the Artificial Intelligence Act on behalf of the Koalicja AI w Zdrowiu (the ‘AI in Health Coalition’) and Grupa ds. Sztucznej Inteligencji - sekcja ds. zdrowia (the ‘Artificial Intelligence Group - Health Section’). The AI in Health Coalition includes technological, pharmaceutical and medical care companies with local and global reach. We share an interest in developing the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665551_en,6
European Edtech Alliance (Denmark),"Dear Sir/Madam, On behalf of the European Edtech Alliance please see the enclosed letter. Best Regards, Esben Trier CEO, EdTech Denmark esben@edtechdenmark.dk +45 4032 3010",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665550_en,7
Hogan Lovells International LLP (United Kingdom),"Dear Sir/Madam, Attached is a copy of our feedback to the Commission's consultation on the proposed AI regulation. Yours faithfully, Hogan Lovells International LLP",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665548_en,7
Insurance Europe (Belgium),"Insurance Europe welcomes the overall objective of the Commission to create a proportionate and principles-based horizontal framework of requirements that AI systems must comply with in the EU, without unduly constraining or hindering technological development and innovation. Moreover, insurers welcome the focus on the development of mandatory requirements for high-risk AI systems that pose significant risks to the health and safety or...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665547_en,7
Future of Life Institute (FLI) (Netherlands),"The Future of Life Institute (FLI) welcomes the opportunity to provide feedback on the proposal for a Regulation of the European Parliament and of the Council laying down harmonised rules on artificial intelligence (Artificial Intelligence Act). FLI recommends that a final Act i) accounts for the full and future risks of AI, ii) enhances protections of fundamental rights, and iii) boosts AI innovation in Europe. Please refer to the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665546_en,7
Siemens Energy (Germany),Siemens Energy contribution in the attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665543_en,7
Onfido (Germany),On behalf of Onfido please find our feedback attached.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665542_en,7
European Society for Medical Oncology (ESMO) (Switzerland),"The European Society for Medical Oncology (ESMO) welcomes the proposal for a Regulation laying down harmonised rules on Artificial Intelligence. While the intention of the Regulation is welcomed, ESMO is concerned regarding the potential impact of this Regulation on the usage of artificial intelligence technologies for the purposes of health research and healthcare practice. Currently in oncology, artificial intelligence is being used in the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665541_en,7
Federation of German Industries / Bundesverband der Deutschen Industrie (BDI) (Germany),"Artificial Intelligence (AI) is one of the most important key technologies in industry. Therefore, unbureaucratic and innovation-friendly framework conditions for the use of AI are a central prerequisite for securing the innovation capacity and competitiveness of the German and European industry. However, the rules on AI proposed by the European Commission need to be amended significantly. Against this background, the Federation of German...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665540_en,7
Japan Business Council in Europe (JBCE) (Belgium),"JBCE welcomes the European Commission’s attempt to set a horizontal Regulation for trustworthy AI with the AI Act. In this context, JBCE asks for a clear definition of AI to ensure an effective and harmonized interpretation and enforcement of the Act. We encourage continued work with International Organisations such as the OECD to provide legal certainty and a shared understanding worldwide on what constitutes an AI system. The same...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665539_en,7
Federation of Craft Businesses in the automotive sector and in mobility services (FNA) (France),Federation of Craft Businesses in the automotive sector and in mobility services (FNA) would like to thank the authors of the Proposal of European Regulation laying down harmonized rules on Artificial Intelligence (AI) to inform citizens and stakeholders about the Commission's work in order to allow them to provide feedback on the intended initiative and to participate effectively in future consultation activities. FNA representatives also...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665537_en,7
"ITI, Information Technology Industry Council (Belgium)",Please refer to the attached paper for ITI's detailed feedback to the proposal.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665536_en,8
Association of Financial Markets in Europe (Belgium),Please see attached the feedback from the Association for Financial Markets in Europe (AFME).,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665535_en,8
radiomics (Belgium),"As a company that focuses on AI powered healthcare, working in research and commercial projects that involve partners from all over Europe, we applaud the ambitious initiative of creating a EU-wide regulatory framework. After consultation of the feedback given by different actors in this field, we do not see anything that we could add. We would like to however point out the importance of closely involving companies 'on the ground' in the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665534_en,8
BSA | The Software Alliance (Belgium),Please find attached our position paper commenting on the AI Act Regulation proposal,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665533_en,8
MedTech Europe (Belgium),"MedTech Europe, the European trade association representing the medical technology industry including diagnostics, medical devices and digital health, would like to provide its response to the European Commission’s adoption consultation on the proposed Artificial Intelligence Act (AIA). Artificial Intelligence (AI) technology is increasingly used in healthcare and in recent years has been greatly enhancing the workflows and decision-making...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665532_en,8
European Cancer Organisation (Belgium),"Because AI systems used in healthcare must be trustworthy and because lives and patients’ outcomes depend on it, the European Cancer Organisation recognises the necessity of a strong pan European framework to ensure the trustworthiness of AI in healthcare. The European Cancer Organisation therefore welcomes the aim of the European Commission to address a number of legal and ethical issues, raised by AI, to foster the development and uptake of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665530_en,8
European Patients' Forum (EPF) (Belgium),"EPF welcomes the EC’s endeavours to develop a European framework for artificial intelligence (AI) based on excellence, trust, human rights, and fundamental values. In healthcare, it is essential to adopt an approach aimed at ensuring the creation of an ethical, transparent, and trustworthy AI within an environment that fosters innovation bringing concrete added value to patients. EPF calls for particular attention on ensuring that AI in...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665528_en,8
Moje Państwo Foundation (Poland),Please find attached the feedback of Moje Państwo Foundation to the European Commission’s proposed Artificial Intelligence Act.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665527_en,8
Sky (United Kingdom),"We are analysing the proposal and will share a more detailed position at a later stage; however, we welcome this opportunity to share our initial reaction to the text. The proposed EU-wide, harmonised, value-based, legislative framework represents a positive step for the future of AI regulation. This framework should avoid a patchwork of conflicting rules developing across Europe and should stimulate the creation of common standards to provide...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665526_en,8
Mastercard (Belgium),"Mastercard welcomes the opportunity to provide feedback to the European Commission on the Proposal for a Regulation laying down harmonised rules on artificial intelligence. This consultation comes at a difficult moment for many individuals, communities and businesses. Nearly a year and a half into the COVID-19 pandemic, despite breakthrough vaccines, we are still fighting the tragic health implications of the virus and grappling with the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665525_en,8
Fondation pour le droit continental (France),"Avec la proposition de règlement sur l’intelligence artificielle (IA) présentée le 21 avril 2021, la Commission européenne réaffirme l’importance stratégique de l’IA pour l'Europe et la nécessité d’encadrer son usage dans les différents secteurs d’application. Nous tenons à saluer cette initiative unique dans le monde, qui place l’intelligence artificielle au centre des réflexions juridiques, politiques et sociétales, desquelles elle est...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665524_en,9
Center for Data Innovation (Belgium),The Center for Data Innovation is pleased to respond to the European Commission’s request for feedback on the Artificial Intelligence Act. Please see the enclosed document for our comments.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665521_en,9
Equifax (Spain),Please find Equifax's feedback in the attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665520_en,9
Standing Committee of European Doctors (CPME) (Belgium),"Dear Madam/Sir, Please find attached in pdf the CPME Feedback on Commission Proposal for a Regulation on Artificial Intelligence. Kind regards, Annabel Seebohm Annabel Seebohm, LL.M. (Auckland) Secretary General Comité Permanent des Médecins Européens Standing Committee of European Doctors 15 Rue Guimard - 1040 Brussels tel: +32 2 732 72 02 mob: +32 477 8132 44 annabel.seebohm@cpme.eu www.cpme.eu The Standing Committee of European...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665519_en,9
Negotia (Norway),"Negotia would like to commend the European Commission for proposing legislation that represents an important step towards protecting fundamental rights when it comes to the rapidly evolving technology of artificial intelligence. It is our belief that new technology creates jobs and increased value for companies. As a trade union, we are nevertheless concerned that the proposed legislation does not provide employees with sufficient...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665518_en,9
ZVEI e.V. (Germany),"ZVEI welcomes the ambitious goal of the EU-Commission to promote and facilitate the uptake of Trustworthy AI in Europe. The EU-Commission puts forward a proposal for a harmonised European approach addressing potential risks and uses of AI applications. We plead to also focus on the immense opportunities related to the uptake of AI. Every market access regulation such as the proposed AI Act, carries the risk of hindering innovation as it...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665517_en,9
Enel SpA (Italy),"Dear Members of DG CNECT A.2, Enel SpA, a multinational company in the energy sector, highly appreciates the EC proposal for a regulation aimed to create the conditions for an ecosystem of trust for Artificial Intelligence products and services, on the EU market. To provide feedback on the EC proposal, Enel wrote its views in the enclosed document for your kind consideration. Please, let us know if you require additional information or...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665516_en,9
Volkswagen AG (Germany),"Volkswagen AG very much welcomes the AI Act and its risk-based approach, and understands and supports the unique opportunity that the European Commission has in advancing the safe and trustworthy use of AI. We believe that this approach will give Europe a competitive advantage on the long-term development and deployment of AI systems. Besides our attached feedback we clearly indicate our support of the feedback to the AI Act given by the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665515_en,9
Artificial Intelligence Association of Lithuania (AIAL) (Lithuania),The feedback of the Artificial intelligence association of Lithuania on AIA provided is attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665514_en,9
Council of European Dentists (CED) (Belgium),"The Council of European Dentists (CED) welcomes the European Commission’s Proposal for a Regulation on AI to establish a legal framework on AI Systems and believes it to be a step in the right direction in the EU’s effort to categorize AI applications according to risk and acceptability. As in other sectors, AI is also increasingly applied in healthcare, and dentistry is no exception. The human factor is particularly relevant for professions...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665510_en,9
German Banking Industry Committee (Germany),"Dear Sir or Madam, Please find enclosed the statement of the German Banking Industry Committee on the European Commission's proposed regulation on the regulation of artificial intelligence (AI act). Sincerely, Dr. Wiebke Lüke",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665508_en,10
Global Digital Foundation (United Kingdom),"We propose the addition of an article mandating the requirement contained in Whereas clause 60 (repeated below) for third parties to cooperate with providers and users. This would provide legal certainty for all actors in the value chain. It would ease the compliance burden for providers and AI value chain actors. It would increase public trust in AI. “In the light of the complexity of the artificial intelligence value chain, relevant third...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665507_en,10
Twilio (United States),Twilio welcomes the opportunity to engage further with the European Commission on its proposal regarding appropriate rules for the use of Artificial Intelligence (AI). Twilio has already submitted a response to the European Commission’s White Paper on Artificial Intelligence – A European Approach and to the Inception Impact Assessment on developing requirements for Artificial Intelligence. Twilio appreciates the risk-based approach the...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665505_en,10
Thibault HELLEPUTTE (Belgium),See attached document.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665504_en,10
Deutscher Anwaltverein (Germany),"Siehe vollständige SN in der PDF-Datei. 1. Grundsätzlicher Ansatz der Regulierung Der grundsätzliche Ansatz der Regulierung in Form einer horizontalen Regulierung sowie die Grundpfeiler für hochriskante KI-Systeme sind zu begrüßen, namentlich: - eine verstärkte Verpflichtung zum Qualitäts- und Risikomanagement (Art. 9 und 17) einschl. Post Market Monitoring (Art. 61), - eine stärkere Regulierung von Trainings- und Testdaten (Art. 10 und 9 Abs...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665503_en,10
AI4Belgium (Belgium),"Key feedback points 1) Overall, the proposed regulatory framework is much appreciated and welcomed. 2) The proposal’s “list-based” approach risks being incomplete, and it requires periodic assessments. 3) The scope of the proposal requires further refinement, and overlap with sectorial legislation that already covers AI needs to be more closely considered. 4) Further clarifications are needed for certain terms that are used throughout the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665502_en,10
AI4Belgium (Belgium),"Key feedback points 1) Overall, the proposed regulatory framework is much appreciated and welcomed. 2) The proposal’s “list-based” approach risks being incomplete, and it requires periodic assessments. 3) The scope of the proposal requires further refinement, and overlap with sectorial legislation that already covers AI needs to be more closely considered. 4) Further clarifications are needed for certain terms that are used throughout the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665501_en,10
AESGP - Association of the European Self-Care Industry (Belgium),"AESGP welcomes the European Commission’s effort to develop a European approach for artificial intelligence (AI) that promotes Europe’s innovation capacity while ensuring the creation of an ethical and trustworthy AI. If properly addressed, AI could bring tremendous benefits to the healthcare sector as a whole and some of its potential applications are already described in numerous publications. Particularly in the self-care sector, AESGP...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665499_en,10
Keidanren (Japan),Please see the attached.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665498_en,10
Small Business Standards (SBS) (Belgium),"SBS thanks the European Commission for the opportunity to provide feedback on the proposal for a European Act on Artificial intelligence (the AI ACT). SBS has prepared feedback regarding the impact of the AI ACT on SMEs, especially on technical issues, quality assurance and certification, and impact on innovation. The feedback is currently pending approval from SBS members and we will submit it in the coming days.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665497_en,10
Intel Corporation (United States),Intel's comments are in the attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665494_en,11
KU Leuven Centre for IT and IP Law (Belgium),"Dear members of the European Commission, Please find enclosed the feedback of several researchers (including myself) at the KU Leuven Centre for IT and IP Law. Should you have any questions and/or remarks, please do not hesitate to contact us. Yours sincerely, Koen Vranckaert",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665491_en,11
Johnson & Johnson (Belgium),"Johnson & Johnson welcomes the opportunity to build a trustworthy and innovative ecosystem for artificial intelligence (AI), where the AI Act (AIA) plays a critical role in combination with the existing regulatory framework. The AIA should have a clear scope and framework, facilitating its implementation and avoiding complexity, in order to build trust between citizens, developers, deployers and users and create a favourable environment which...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665490_en,11
Verband kommunaler Unternehmen e.V. (Germany),"Der VKU bedankt sich für die Möglichkeit, zu dem Verordnungsvorschlag der Kommission über harmonisierte Regeln für künstliche Intelligenz Stellung zu nehmen. Wir begrüßen, dass die Kommission in ihrem Vorschlag einen risikobasierten Ansatz verfolgt. Damit bleibt die Mehrzahl der KI-Anwendungen unberührt, da von ihnen kein Risiko ausgeht. Wichtig ist nun, dass unter den Anwendungsbereich des Verordnungsvorschlags nur entsprechend...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665488_en,11
Bundesverband Digitale Wirtschaft (BVDW) e.V. (Germany),"Der Bundesverband Digitale Wirtschaft (BVDW) e.V. ist die Interessenvertretung für Unternehmen, die digitale Geschäftsmodelle betreiben oder deren Wertschöpfung auf dem Einsatz digitaler Technologien beruht. Als Impulsgeber, Wegweiser und Beschleuniger digitaler Geschäftsmodelle vertritt der BVDW die Interessen der digitalen Wirtschaft gegenüber Politik und Gesellschaft und setzt sich für die Schaffung von Markttransparenz und...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665487_en,11
Deutsche Börse Group (Germany),"Dear Sir or Madame, please see the response of the Deutsche Börse Group attached. Best regards, Jan Doser",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665486_en,11
The Electronic Privacy Information Center (EPIC) (United States),"The Electronic Privacy Information Center (EPIC) is a privacy-focused public interest research center based in Washington, D.C. EPIC welcomes the European Commission's significant work towards putting in place a regulatory framework addressing the development and use of artificial intelligence (AI) systems. However, EPIC believes that the current Artificial Intelligence Act (AIA) draft does not meaningfully address several privacy and human...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665484_en,11
Fujitsu (Belgium),"Fujitsu understands the need for European regulation of AI and encourages the European Commission to make all efforts to finalize a framework legislation that can be effective both at European and global level with a strong focus on supporting technology exchange and innovation. In order to do that, this regulation must be as simple as possible with clear definitions and limit the obligations for all stakeholders in the value chain by focusing...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665483_en,11
Consumer Technology Association (United States),Please see attached comments from the Consumer Technology Association (CTA).,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665481_en,11
"Legal, Ethical & Accountable Digital Society (LEADS) Lab, University of Birmingham (United Kingdom)","This document contains the response to the Commission’s Proposal for an Artificial Intelligence Act from members of the Legal, Ethical & Accountable Digital Society (LEADS) Lab at the University of Birmingham, authored by Nathalie Smuha, Emma Ahmed-Rengers, Adam Harkens, Wenlong Li, James MacLaren, Riccardo Piselli and Karen Yeung.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665480_en,11
CIO Platform Nederland (Netherlands),"CIO Platform Nederland welcomes the opportunity to provide feedback on the proposal for the Artificial Intelligence Regulation. We consider the AI proposal a starting point to assess how to honour fundamental rights, health and security, while allowing AI technology to flourish. In brief, an appropriate framework for the safe, responsible, and sustainable use of AI systems in Europe is essential for the full exploitation of AI technology in...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665479_en,12
Standard Chartered (United Kingdom),Please see attached feedback from Standard Chartered.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665478_en,12
Move EU (Belgium),"Move EU welcomes the European Commission’s ambitious proposal for an AI Regulation and the opportunity to provide feedback on behalf of its member companies in the on-demand mobility sector. Move EU brings together the leading actors in the field of ride-hailing services. Speaking with one voice, our members aim to foster the rapid and sustainable deployment of on-demand mobility in the European Union. The Commission's proposal is a...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665477_en,12
German Medical Technology Association (BVMed) (Germany),"With the publication of the draft of an ""Artificial Intelligence Act"" (AIA), the European Com-mission has issued a proposal for a regulation which outlines how artificial intelligence (AI) and its use shall be regulated in the EU. The Act intends to create a uniform legal framework across all sectors for the development, use and marketing of AI, i.e. regardless of whether it is used in a computer game, a self-driving car or digital medical...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665476_en,12
RELX (United Kingdom),RELX welcomes the opportunity to provide feedback on the European Commission’s proposed regulation on Artificial Intelligence (AI). The regulation sets out how the Commission wishes to develop harmonised rules on AI and will have a significant impact on the future development and use of AI systems in Europe. It marks the world’s first specific piece of legislation targeted at regulating the use of AI. The regulation is an opportunity to...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665475_en,12
SPECTARIS e.V. (Germany),"SPECTARIS - the German Industry Association for Optics, Photonics, Analytical and Medical Technology welcomes the Commission´s initiative to lay down harmonised rules on Artificial Intelligence. SPECTARIS agrees with the objectives outlined in the European Commission´s proposal (Artificial Intelligence Act; AIA): to further research and innovation whilst maintaining a high level of safety for EU citizens. However, the planned legislation...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665474_en,12
DeepMind (United Kingdom),Please find attached DeepMind's views on the European Commission's proposal on the Artificial Intelligence Act. We thank the Commission for the opportunity to provide feedback and look forward to engaging in further discussions to foster scientific excellence and trustworthy AI in the EU.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665473_en,12
ZPP (Poland),"ZPP od dawna podkreślał, że przygotowanie adekwatnej regulacji w zakresie sztucznej inteligencji będzie wyjątkowo wymagającym zadaniem. Z jednej strony bowiem oczywistym celem regulatora jest zabezpieczenie obywateli i podmiotów gospodarczych przed nieetycznym stosowaniem technologii AI, z drugiej jednak – wprowadzenie zbyt daleko idących restrykcji skutkowałoby zahamowaniem innowacji, a przez to również pogorszeniem pozycji konkurencyjnej...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665472_en,12
Sella Group (Italy),"Sella Group thanks for the opportunity to provide contributions about a notable regulatory project, which responds to ethical needs and respect for values and fundamental rights in the EU. The technological evolution should not affect health, safety and protection of fundamental rights, nor lead to discrimination. On the other hand, Artificial Intelligence is one of the key factors that could foster social inclusion. It is essential to set the...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665471_en,12
KMD A/S (Denmark),"KMD welcomes the proposal for an AI Act by the European Commission. For half a century, KMD’s contributions to Danish society has helped shape one of the most modern and progressive public sectors in the world. The high degree of trust that Danes have in digital and data driven solutions today stems from decades of developing solutions that are reliable, secure, transparent, unbiased, and explainable. KMD aims to continue building on this...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665469_en,12
E.ON SE (Germany),"E.ON welcomes the opportunity to actively participate in the consultation process on the Artificial Intelligence (AI) Act. E.ON generally supports the plans of the European Commission to create a uniform framework for AI with the primary goal to strike a risk-based balance between the fundamental rights of European citizens and enabling competitive AI systems to develop. In order to ensure effective and fair regulation in this field, E.ON...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665468_en,13
"Arthur's Legal, Strategies & Systems (Netherlands)","Arthur's Legal, Strategies & Systems strongly supports and endorses the initiative by the European Commission for the current proposed Artificial Intelligence Act. The Commission's initiative will help ensure that AI is safe, lawful and in line with EU fundamental rights, and related responsibility, accountability (and liability) attribution. The overall goal is to stimulate the uptake of trustworthy AI in EU society and economy. We underline...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665467_en,13
Assuralia (Belgium),Please find enclosed Assuralia's contribution.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665465_en,13
Novartis International AG (Switzerland),"Novartis welcomes the European Commission's first-of-its-kind legislative proposal on the use of Artificial intelligence (AI), which positions the EU as leader in trustworthy AI and digital. As healthcare company, we use this innovative science to discover and develop medicines. AI technologies are transforming how we innovate and operate and they offer high potential for improving healthcare quality. Novartis is using AI extensively in drug...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665464_en,13
Association of German Chambers of Industry and Commerce (DIHK) (Germany),"The Association of German Chambers of Industry and Commerce (DIHK) welcomes the opportunity to provide feedback to the consultation on the proposal for the Artificial Intelligence Act. Artificial intelligence (AI) is considered to be one of the key technologies of digitalisation and a driver of economic growth. In order to ensure that the course is set for the successful development and application of AI, the DIHK advocates the improvement of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665463_en,13
Access Now Europe (Belgium),"Access Now welcomes the European Commission’s pioneering proposal for a regulatory framework for artificial intelligence. We have consistently pointed to the insufficiency of ethics guidelines and self-regulatory approaches, and have long called for regulatory intervention in the field of AI. The current Proposal provides a workable framework to ensure the protection of fundamental rights, but requires significant modifications in a number of...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665462_en,13
Bits of Freedom (Netherlands),Bits of Freedom welcomes the European Commission’s objective to ensure that AI systems are used safely and with respect to fundamental rights and Union values. We agree that the future of AI depends on public trust in the safety and compliance of AI with fundamental rights and that a human-centric approach is essential. Therefore we welcome the opportunity to share our concerns relating to the protection of fundamental rights in the Artificial...,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665458_en,13
Association of Test Publishers (United States),"Attached please find a link to the comments on the European Commission’s proposal on the Artificial Intelligence Act from the Association of Test Publishers. We thank the Commission for the opportunity to share feedback, and look forward to engaging in further discussions on how to best achieve proportionate, risk-based AI regulation in Europe -- and globally. We wish to note that in our preparation, we coordinated with the European Test...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665455_en,13
BMW (Germany),"The BMW Group welcomes the European Commission's approach of creating uniform guidelines and rules for the use of artificial intelligence. Due to the complexity and the almost limitless possibilities, this can both strengthen confidence in the respective technology and maintain the innovative power. With this point of view, we would like to draw particular attention to the following aspects: AI Applications within Supply chains and supplier:...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F2665452_en,13
