Organization,Feedback Content,Feedback Link,Page,Feedback reference,Submitted on,Submitted by,User type,Organisation,Organisation size,Transparency register number,Country of origin,Initiative,Additional Message
APDSI - Associação para a Promoção e Desenvolvimento da Sociedade da Informação (Portugal),"● Âmbito: ○ Não nos parece adequado expandir o âmbito do futuro regulamento de IA para a categoria aberta de ""tomada de decisão automatizada"". Isso iria contra a ideia inicial refletida no Livro Branco da IA, que propõe concentrar-se e basear-se no risco e no duplo critério para as tecnologias de IA setoriais e de aplicação/utilização. Se a IA fosse definida como ""tomada de decisão automatizada"" para efeitos da futura regulamentação, este...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550875_en,7,F550875,10 September 2020,APDSI Secretariado,Non-governmental organisation (NGO),APDSI - Associação para a Promoção e Desenvolvimento da Sociedade da Informação,Micro (1 to 9 employees),TR 435520331024-09,Portugal,Artificial intelligence – ethical and legal requirements,"● Âmbito: 
○ Não nos parece adequado expandir o âmbito do futuro regulamento de IA para a categoria aberta de ""tomada de decisão automatizada"". Isso iria contra a ideia inicial refletida no Livro Branco da IA, que propõe concentrar-se e basear-se no risco e no duplo critério para as tecnologias de IA setoriais e de aplicação/utilização. Se a IA fosse definida como ""tomada de decisão automatizada"" para efeitos da futura regulamentação, este conceito criaria obrigações regulamentares que dificultariam o desenvolvimento e a implantação de aplicações baseadas em IA na Europa bem como de sistemas automatizados que não representam qualquer risco ou dano.

● Opções políticas:
○ Opção 0 (base): Acreditamos que há mérito em assegurar que o regulamento existente da UE é devidamente implementado no que diz respeito à IA, antes de se estabelecerem quaisquer novas regras prescritivas específicas para a IA. 
Atualmente, a IA não funciona no vácuo legislativo, está sujeita a uma série de regras existentes, incluindo o RGPD, o regulamento sobre os dispositivos médicos, e o acervo dos direitos fundamentais.

○ Opção 1 (intervenção liderada pela indústria): Independentemente das opções de políticas públicas que sejam seguidas, é útil dar apoio à indústria na definição e implementação de normas que estabeleçam práticas responsáveis e partilha das mesmas. 

○ Opção 2 (legislação sobre rotulagem voluntária): Parece-nos uma ideia interessante mas somos céticos em relação à eficácia da adesão a este instrumento que pode tornar-se um encargo administrativo para as PME que poderia pesar mais e prevalecer significativamente, em relação aos benefícios que traria.

○ Opção 3 (legislação com requisitos obrigatórios): No geral, o custo de oportunidade da não utilização da IA deve fazer parte da avaliação quando se considera qualquer legislação destinada a reduzir o risco e os danos decorrentes da utilização de aplicações de IA. A legislação deve garantir a segurança jurídica, ser proporcional e aumentar a confiança na IA, sem prejudicar, indevidamente, a inovação conduzida pela mesma. 

■ 3a: Os sistemas de identificação biométrica remota podem ser um bom exemplo de uma aplicação à qual poderiam ser aplicados requisitos obrigatórios numa abordagem baseada no risco.

■ 3b: Apoiamos uma abordagem bem definida, baseada no risco, ao regulamento sobre IA, que tenha em conta tanto a gravidade como a probabilidade de dano. Critérios de base de utilização/aplicação e setoriais - tal como proposto pelo Livro Branco da Comissão Europeia - parecem em geral ser um bom ponto de partida.

■ 3c: Advertimos contra um ato legislativo da UE para todas as aplicações possíveis de IA, que não faça distinção entre as aplicações de IA que possam representar um risco/perigo significativo e as que não comportam riscos ou têm um perfil de risco inferior. Tal instrumento legislativo seria significativamente desproporcional aos problemas até agora identificados pela CE, criaria barreiras significativas à adoção de IA na Europa, resultaria em custos de oportunidade em algumas aplicações devido à falta de implementação de IA, e arriscar-se-ia a baixar a fasquia para aquelas aplicações de IA que são muito suscetíveis de levantar riscos significativos.

● Aplicação da regulamentação:
○ Apoiamos a aplicação ex post, para quando os problemas surgirem, como sendo o mecanismo mais apropriado e proporcional, exceto em campos onde as avaliações ex ante já são prática estabelecida. Nestas situações, recomendamos o alinhamento de qualquer avaliação ex-ante com os procedimentos existentes.

○ Uma abordagem prática, mais eficiente que a avaliação ex-ante por terceiros, consistiria em que os reguladores fornecessem modelos detalhados e orientações sobre como realizar e documentar a avaliação de risco, delegando porém, a responsabilidade àqueles que utilizam o sistema de IA e estão mais familiarizados com este, a fim de realizar uma avaliação precisa."
Association for Financial Markets in Europe (AFME) (Belgium),Please see the attached submission from the Association for Financial Markets in Europe (AFME),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550864_en,7,F550864,10 September 2020,Fiona WILLIS,Company/business,Association for Financial Markets in Europe (AFME),Medium (50 to 249 employees),65110063986-76,Belgium,Artificial intelligence – ethical and legal requirements,Please see the attached submission from the Association for Financial Markets in Europe (AFME)
Agoria vzw/asbl (Belgium),"Agoria is the Belgian federation for the technology industry. We are paving the way for all technology-inspired companies in Belgium pursuing progress internationally through the development or application of innovations and which, together, represent some 300,000 employees. We are proud that more than 1,900 member companies trust in the three pillars of our services: consulting, business development and the creation of an optimal business...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550863_en,7,F550863,10 September 2020,Jelle Hoedemaekers,Business association,Agoria vzw/asbl,Medium (50 to 249 employees),68004524380-10,Belgium,Artificial intelligence – ethical and legal requirements,"Agoria is the Belgian federation for the technology industry. We are paving the way for all technology-inspired companies in Belgium pursuing progress internationally through the development or application of innovations and which, together, represent some 300,000 employees. We are proud that more than 1,900 member companies trust in the three pillars of our services: consulting, business development and the creation of an optimal business environment.

Agoria thanks the European Commission for its efforts to foster Artificial Intelligence and for the opportunity to provide inputs regarding its Proposal for a legal act laying down requirements for Artificial Intelligence, which presents several options for future legislation. 

Firstly, Agoria is in favour of Option 1 of the alternative options to the baseline scenario, i.e. EU “soft law”, implying a non-legislative approach to facilitate and spur industry-led intervention without putting forward an EU legislative instrument. In addition, we believe that a “soft law” approach could build upon existing national initiatives and encourage a quicker industrial transformation using AI-driven systems to automate and reinvent fundamental industrial processes. Secondly, we acknowledge that others may see specific risks relating to the usage of AI in certain situations, justifying a legislative intervention. However, we must stress that the possibility of such risks arising at some point in the future does not imply that this is the case today, neither sporadically nor systematically. We urge the European Commission to analyse what is wrong in practice, before considering the optimal means of resolving these issues. Once this is clear, requirements for these specific high-risk situations will become evident and remedies may be needed. Where remedies are needed, enforcement methods should be considered, but not beforehand. Suggesting ex-ante enforcement mechanisms without any background is causing a lot of uncertainty, and SME’s specifically will be put at a disadvantage by this. 

Agoria believes that before choosing any option for a legislative intervention, existing regulation must be analysed carefully, identifying potential gaps precisely. This analysis should help to propose the adequate tools to fill those gaps and to establish a legally sound definition of AI. Given that AI has many meanings for different people and that many definitions of this term exist already, it is vital for the success of any AI related legislative action to define AI in a robust way. The most important aspect to keep in mind is that AI is not a product in itself, but rather a technology embedded in products, services and applications, which may be used in an extensive array of sectors, which puts all concerns related to AI in another perspective. For example, the health sector is already heavily regulated, and additional requirements should fit into the existing mechanisms. Additional unnecessary AI-related requirements within the EU product legislation should be avoided."
Visa Europe (United Kingdom),Please see attached file.,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550862_en,8,F550862,10 September 2020,Pedro Simoes,Company/business,Visa Europe,Large (250 or more),61954192201-58,United Kingdom,Artificial intelligence – ethical and legal requirements,Please see attached file.
Workday (United States),"Please find attached Workday's comments on the Inception Impact Assessment Best regards, Jens-Henrik Jeppesen Director, Public Policy, EMEA",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550853_en,8,F550853,10 September 2020,Jens-Henrik Jeppesen,Company/business,Workday,Large (250 or more),021253717373-58,United States,Artificial intelligence – ethical and legal requirements,"Please find attached Workday's comments on the Inception Impact Assessment

Best regards,

Jens-Henrik Jeppesen
Director, Public Policy, EMEA"
EDiMA (Belgium),"EDiMA welcomes the opportunity to provide feedback on this Roadmap. EDiMA and its members can offer insight into the interplay between the technical aspects of AI and its broader impact on the economy and society, and are committed to maximising the benefits of AI for Europe. While the current and potential benefits of AI are numerous, concerns about AI are important and legitimate, and should not be discounted. Developments in AI are...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550846_en,8,F550846,10 September 2020,EDiMA EDIMA,Business association,EDiMA,Micro (1 to 9 employees),53905947933-43,Belgium,Artificial intelligence – ethical and legal requirements,"EDiMA welcomes the opportunity to provide feedback on this Roadmap. EDiMA and its members can offer insight into the interplay between the technical aspects of AI and its broader impact on the economy and society, and are committed to maximising the benefits of AI for Europe. While the current and potential benefits of AI are numerous, concerns about AI are important and legitimate, and should not be discounted. Developments in AI are advancing quickly and will have a transformative impact on our society, so we agree with the Commission on the importance of fostering an ecosystem of trust.

The need for a clear, workable definition 
A crucial prerequisite for targeted and effective regulation will be to clearly define AI. A delicate balance needs to be struck between avoiding an overly-broad definition, encompassing all contemporary software systems, and an excessively narrow definition, which could quickly become outdated due to the rapid pace of digital innovation.
A sensible definition of ‘high-risk AI’ is also vital, and the two-step approach proposed in the EC’s White Paper goes in the right direction. We strongly recommend removing vague and open-ended clauses from the risk definition - such as ""exceptional instances"" and ""immaterial damage"" - to improve legal certainty and avoid any potential overreach. The process to decide whether new sectors should be added to the list of ‘high-risk sectors’ must also be robust and transparent, also considering the views of relevant experts and consulting with all stakeholders.

A balanced approach to tackle future AI challenges
EDiMA members continue to agree with the White Paper’s viewpoint that regulatory oversight should  be limited to applications carrying the highest risks for users A legislative instrument covering all types of AI applications - regardless of risk of harm, as mentioned in the Roadmap - would be unnecessary and disproportionate, with detrimental implications for innovation and competitiveness in the European economy, as well as for consumers. A wide intervention also bears its own risks in limiting certain AI technologies which are themselves known to reduce harm.  Furthermore, we believe that most of the concerns raised by AI applications are addressed through existing legislation, and there is merit in ensuring that this is properly implemented before putting in place any new AI-specific rules. For example, the GDPR, while the P2B Regulation and new consumer rules have recently revised transparency requirements for ranking guidelines.
We would also caution against the expansion of the scope of future AI regulation to the open-ended category of “automated decision making” – to do so would risk creating disproportionate regulatory obligations that would deter the development of automated systems that do not pose any risk nor harms.

Industry-led intervention: the most flexible way to anticipate and overcome AI challenges
EDiMA strongly believes that the best way to ensure that AI is trustworthy, secure and respectful of EU values and rules is a combination of ex-ante risk self-assessment and ex-post enforcement for high-risk AI applications.
Concerns related to AI are mostly factored into the development stages of the technology. Accounting for potential risk and having strong processes in place can help to minimise risks, which is essential to creating high quality products and services. An example of such a process is checking the quality of the datasets within the model used to train it, and by performing rigorous testing. It is essential that these processes are flexible in order to adapt to widely different applications of AI. Such a flexibility would also be needed if a single voluntary labelling system was to be considered. AI labelling system that is not flexible enough could quickly become outdated and provide false assurances to consumers, undermining their trust in AI applications. 

We look forward to working with the Commission on AI in the future."
Confederation of Industry of the Czech Republic (Czechia),Please find attached,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550845_en,8,F550845,10 September 2020,Ondřej Ferdus,Business association,Confederation of Industry of the Czech Republic,Medium (50 to 249 employees),785320514128-81,Czechia,Artificial intelligence – ethical and legal requirements,Please find attached
(FERMA) Federation of European Risk Management Associations (Belgium),"The Federation of European Risk Management Associations (FERMA) welcomes the opportunity to comment on the Commission’s Inception Impact Assessment, specifically on the relevant policy options and policy instruments in the area of Artificial Intelligence. Our input here is complemented by our attached position paper. FERMA brings together 22 risk management associations in 21 countries. They represent nearly 5000 professional risk managers...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550840_en,8,F550840,10 September 2020,Charles Low,Business association,(FERMA) Federation of European Risk Management Associations,Micro (1 to 9 employees),018778010447-60,Belgium,Artificial intelligence – ethical and legal requirements,"The Federation of European Risk Management Associations (FERMA) welcomes the opportunity to comment on the Commission’s Inception Impact Assessment, specifically on the relevant policy options and policy instruments in the area of Artificial Intelligence. Our input here is complemented by our attached position paper. 

FERMA brings together 22 risk management associations in 21 countries. They represent nearly 5000 professional risk managers active in a wide range of business sectors. Risk managers utilise a number of tools and methodologies for measuring risk, particularly Enterprise Risk Management (ERM) and the ‘Three Lines of Defense’ model. ERM and the ‘Three Lines of Defense’ have already been applied effectively in the digital context, such as GDPR and cybersecurity, and have proven build organisations’ capacity to mitigate and assess risk. 

We are therefore encouraged to see that the Commission has incorporated a risk-based approach to AI. The promotion and utilisation of risk management methodologies such as ERM and the ‘Three Lines of Defence’ can help organisations support such a risk-based approach. On this note, FERMA is committed proactively contribute its risk management expertise to the work of the European Commission to ensure a robust ‘risk-based approach’ is enshrined in AI legislation moving forward.

FERMA believes it is important to balance any future legislation against the clear need for innovation and market development. At the current stage of market maturity, FERMA is in favour of applying broad, market-based principles. With specific reference to the policy options presented in the Inception Impact Assessment document, FERMA supports Options 2, and 3. B therefore believes that Option 4, which would see a combination of policy tools being used that take into account the different levels of risk of particular AI applications, is ultimately the most sensible approach.

In addition to the comments above, FERMA takes the view that AI raises a number of concerns related to liability. This is why FERMA believes that the existing European legislative framework in this area, the Product Liability Directive, needs to be re-examined before creating a new liability regime specific to AI. To that end, FERMA believes the primary goal of action in this area should be to ensure legal certainty since this will allow risk managers and the insurance industry to adjust their solutions to market needs. 

Even with legal certainty, AI will always pose risks. To mitigate AI-related risk, FERMA recommends the Commission to create a mix of ex-ante incentives to encourage regulatory compliance based on good-faith disclosures and reasonable transparency requirements, combined with a light-touch ex-post enforcement mechanism.

FERMA remains committed to working with the European Commission to build a holistic AI legislative framework that accounts for risk inherent to AI without stifling innovation."
Keidanren (Japan),"The feedback by AI Utilization Strategy Task Force, Committee on Digital Economy, Keidanren is over 4000 characters. Please find attached file.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550832_en,8,F550832,10 September 2020,Committee Digital Economy,Business association,Keidanren,Medium (50 to 249 employees),267303827175-27,Japan,Artificial intelligence – ethical and legal requirements,"The feedback by AI Utilization Strategy Task Force, Committee on Digital Economy, Keidanren is over 4000 characters. Please find attached file."
Anonymous,Se attachment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550805_en,8,F550805,09 September 2020,,,,,,,Artificial intelligence – ethical and legal requirements,Se attachment
ACEA (European Automobile Manufacturers Associations) (Belgium),"ACEA welcomes the opportunity to comment on this Inception Impact Assessment on a potential initiative on AI. AI represents a key technological area for the entire automotive value-chain and EU industry at large. We therefore endorse Commission’s plans to mobilise EU resources and R&D efforts, as no Member State alone could support our global competitive standing in this field. However, for the EU to remain competitive against global players...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550804_en,8,F550804,09 September 2020,Marta Marazzi,Business association,ACEA (European Automobile Manufacturers Associations),Small (10 to 49 employees),,Belgium,Artificial intelligence – ethical and legal requirements,"ACEA  welcomes the opportunity to comment on this Inception Impact Assessment on a potential initiative on AI.

AI represents a key technological area for the entire automotive value-chain and EU industry at large. We therefore endorse Commission’s plans to mobilise EU resources and R&D efforts, as no Member State alone could support our global competitive standing in this field. However, for the EU to remain competitive against global players and preserve its innovation power, a light-touch and sectoral approach to regulation is advisable. A horizontal AI initiative would not appropriately address the automotive sector’s specificities: hence, ACEA recommends policymakers to integrate new potential AI requirements in the sectoral legislation.

The automotive sector is already subject to strict ex-ante conformity controls (Type-Approval) and ex-post (CoP, Market surveillance, in-service compliance). Before adopting any proposed option, Commission is encouraged to consider where existing vertical certification requirements and regulatory frameworks can be used in a way to promote technological innovation and completed where necessary with practical guidelines. Only afterwards should gaps be determined. If legal gaps exist based on demonstrable evidence, new potential AI requirements should be included in the existing sectoral frameworks. This is essential to prevent duplication or invalidation of certification testing and market surveillance for the AI Regulatory Framework and European Union Whole Vehicle Type Approval (potential AI requirements put forward in the AI White Paper are well-established in the processes governing the automotive sector and tackled by applicable legislation).

In the specific case of automated driving, regulation should take into account the level of automation and vehicle behavior (functional requirements and methods for validating the function) rather than the technology used for implementing transport automation – something which would allow for a technology neutral approach to regulation. The work carried out at UN level on automated driving, where DG GROW is actively involved, goes in this direction: the recently adopted UN regulation on Automated Lane Keeping Systems is an example of how safety relevant aspects can be covered; also the concept of a future Automated Driving Systems will incorporate all safety aspects including those related to the specificities of using AI algorithms for driving functions. Coordination and alignment with UNECE WP.29 and DG GROW are crucial.

It is in the interest of vehicle manufacturers to put on the market/on road vehicles that comply with the maximum safety and ethical standards. Safety validation is ensured by provisions dictated in the Vehicle Type Approval/General Safety Regulation. In parallel, in order to accelerate the adoption of practical tools nurturing the objectives of the HLEG Ethical principles for AI, vehicle manufacturers support, as suggested in this Inception Impact Assessment, the further development of industry-led initiatives (e.g. standards/codes of conduct) for implementing road transport automation and promoting the deployment of AI in a way that secures greater trust in and public acceptance of new technologies. 

ACEA calls for a risk-based approach for the assessment/classification of AI applications, carried out on a case-by-case basis and by applying a set of criteria. A narrow definition of high-risk is required, so to avoid moderate risk/narrow AI use cases being classified as high-risk and being overregulated. Criteria for the risk assessment should be spelled out and consist of factors, such as: safety-relevancy, autonomy of learning, autonomy of decision-making, type of algorithmic model, potential impact of AI systems on a larger group of people. It is finally recommended that the remits of existing type-approval authorities are extended to cover in-vehicles AI applications, so that the sectoral expertise is further enhanced."
EnBW Energie Baden - Württemberg AG (Germany),"As EnBW Energie Baden-Württemberg AG we welcome the approach of European Commission to conduct an Impact Assessment concerning ethical and legal requirements for AI. For several years already we have developed AI solutions in the energy sector. As operator and service provider in the field of critical infrastructures, we at EnBW operate multiple self-developed AI services already productively. These include AI-assisted overhead power line...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550748_en,8,F550748,09 September 2020,Josua Semme,Company/business,EnBW Energie Baden - Württemberg AG,Large (250 or more),13324391892-74,Germany,Artificial intelligence – ethical and legal requirements,"As EnBW Energie Baden-Württemberg AG we welcome the approach of European Commission to conduct an Impact Assessment concerning ethical and legal requirements for AI. For several years already we have developed AI solutions in the energy sector. As operator and service provider in the field of critical infrastructures, we at EnBW operate multiple self-developed AI services already productively. These include AI-assisted overhead power line inspection by using drones, predictive maintenance of offshore wind turbines, securing public places by means of AI-assisted barrier systems, automatic detection of road damage and detection of damage to gas and water pipes. Lately we have been awarded “AI-Champion of Baden-Württemberg” - as EnBW we would like to share our expertise in an ecosystem of excellence in the EU.

Our view on the outlined alternative options to the baseline scenario:

Option 3c would most probably be an overall inhibitor as from the start.

3b puts up heavy hurdles for some selected sectors. As outlined in the white book on AI, the energy sector would suffer under this form of general suspicion of being a “high-risk” sector (white paper on AI, page 17). The first criterion already gives rise to fears of bureaucracy, while being too broad at the same time. In the coming years we need room for innovation instead of discrimination of individual sectors. For a risk-assessment of particular applications, a clear definition of “high-risk” would be very much needed from an industrial perspective. Rather soft measures (e.g. guidelines or other approaches which leave room for innovation) should be preferred before introducing bureaucratic certification processes.

Concerning the outlined alternative options to the baseline scenario, we would advocate option 2. A voluntary labelling scheme would complement the existing EU legislation, which already sets high standards for example concerning liability (e.g. the product safety directive for products) or personal data (GDPR). A good example to operationalise AI ethics using labels can be found under: https://www.ai-ethics-impact.org/en

Similarly, page 19 of the German report on the data ethics commission lines this out. (https://www.bmjv.de/SharedDocs/Downloads/DE/Themen/Fokusthemen/Gutachten_DEK_Kurzfassung.html;jsessionid=6202CA13F73BDB281E78F2F374F783E8.1_cid334?nn=11678504)

Because of the diversity of products, services, customers and processes, it would be best to have individual labels and industry-inspired processes to qualify. Common guidelines might be helpful. For customers and employees it is important to understand the path of getting to a label – transparency is important, explainability creates trust."
EGMF (Belgium),"EGMF, the European Garden Machinery Federation, would like to provide its feedback in the attachment, on the Commission inception impact assessment regarding a proposal for a legal act on AI requirements.",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550741_en,8,F550741,09 September 2020,Ioana Smarandache,Business association,EGMF,Micro (1 to 9 employees),82669082072-33,Belgium,Artificial intelligence – ethical and legal requirements,"EGMF, the European Garden Machinery Federation, would like to provide its feedback in the attachment, on the Commission inception impact assessment regarding a proposal for a legal act on AI requirements."
Enel SpA (Italy),"Dear Members of DG CNECT .A.2, Enel SpA, a multinational company in the energy sector, highly appreciates the EC proposal for a legal act laying down requirements for Artificial Intelligence. At Enel, we use Artificial Intelligence and technology to make the energy and power systems more efficient, more predictable and more sustainable, making easier for our customers to interact with us and to play a more active role in the energy system...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550740_en,9,F550740,09 September 2020,Almudena Díaz,Company/business,Enel SpA,Large (250 or more),6256831207-27,Italy,Artificial intelligence – ethical and legal requirements,"Dear Members of DG CNECT .A.2,
Enel SpA, a multinational company in the energy sector, highly appreciates the EC proposal for a legal act laying down requirements for Artificial Intelligence. 

At Enel, we use Artificial Intelligence and technology to make the energy and power systems more efficient, more predictable and more sustainable, making easier for our customers to interact with us and to play a more active role in the energy system, mainly in the liberalised energy market.

The European digital strategy released on February this year, stresses that citizens need to be able to trust the technology itself as well as the way in which it is used. The European Commission White Paper on AI, maps out various policy options and reveals that clear and mandatory requirements would “in principle” apply only to AI systems or applications which are considered ‘high-risk’, i.e. employed in sectors where significant risks can be expected to occur, or used in such a manner that significant risks are likely to arise.

In line with the non-binding Ethics Guidelines by the AI HLEG, the White Paper on AI suggested that the mandatory requirements for high-risk systems could cover the following aspects:
• Training data;
• Data and record-keeping;
• Information to be provided;
• Robustness and accuracy, with an ex-ante consideration of the potential risks;
• Human oversight;
• Specific requirements for certain AI applications, such as remote biometric identification.

Considering this and welcoming a risk-based approach, Enel advices the European Commission that the risks are in the infringement, not in the technology or in the sector and, recommends to assess and establish the characteristics of different types of risks and threats with a ‘sector-by-sector’ approach, requiring inter alia a ‘sectoral’ data protection assessment. 
Within this view, the different classes of use-cases must be integrated. It is worth noting that in the energy sector, which is considered “high-risk” according to section C of the White Paper, all its AI based applications cannot systematically be categorised such as “high-risk”. 

For instance, an application utilised to interact online with clients about customer care activities will normally not pose risks of such significance to justify, at this time, legislative intervention. Possible mandatory legal requirements to be imposed on high-risk applications should be carefully evaluated before establishing them as (ex-ante) obligations for businesses.

Enel believes also necessary to better define ‘high-risk’ and the methodology to assess it. Poor categories and definitions might deter private investments and become a competitive disadvantage to European companies. 

Given the actual economic crisis together with the financial risk nature of research and innovation activities, Enel urges the Commission to build a financial structure to back organisations involved in the mentioned ‘high-risk’ sectors. If the EU system is not supportive towards innovation, the opportunity for innovations to come from Europe will be reduced.

Therefore, the Enel Group promotes the development of long-term European action plans on digital policy, which should be evidence-based, promote security by design, guarantee high data quality standards, promote ethical evaluation for different use cases and enable new technologies and business models, without imposing unnecessary burdens and costs nor obstacles to innovation."
The Good Lobby (Belgium),"The Good Lobby welcomes the opportunity of providing feedback on this legislative initiative. Without a doubt, Artificial Intelligence (AI) is already changing the world, its potential impacts having long been discussed and analysed. Other than the many benefits of this technology, presented by the Commission both in its White Paper and in its Communication on AI, it also poses numerous risks, some of which have been highlighted in the same...",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/F550729_en,9,F550729,09 September 2020,Alexandru Circiumaru,Non-governmental organisation (NGO),The Good Lobby,Micro (1 to 9 employees),,Belgium,Artificial intelligence – ethical and legal requirements,"The Good Lobby welcomes the opportunity of providing feedback on this legislative initiative. Without a doubt, Artificial Intelligence (AI) is already changing the world, its potential impacts having long been discussed and analysed. Other than the many benefits of this technology, presented by the Commission both in its White Paper and in its Communication on AI, it also poses numerous risks, some of which have been highlighted in the same documents and in the Ethics Guidelines prepared by the High-Level Expert Group on AI. Therefore, we believe it is encouraging and commendable that the European Commission pays close attention to the way in which AI can be regulated and that this is the right time for it to do so.

Looking at the options provided, The Good Lobby strongly supports a combination of options 2, 3a, and 3b. The risks that AI poses, which are very much present, with plenty of concrete examples of biased algorithms from the past 12 months alone, are too great to be addressed through a soft-law approach. We believe that in order to address these risks appropriately there is a need for a decisive and comprehensive legislative intervention. 

While a voluntary labeling scheme - option 2 - is not in and of itself sufficient, we recognise that there is some value to this idea. As suggested in the White Paper, such an approach could be appropriate for low-risk applications of AI. Nevertheless, we are not persuaded that it would properly address the challenges posed by high-risk AI.

While option 3c would have the advantage of minimising the risk of fragmentation and uncertainty, it would also greatly stifle innovation and have negative consequences over the development of AI in Europe, discouraging organisations, and in particular SMEs, from engaging with this technology.

We do not support regulating only certain categories of AI. Such an approach has the risk of being too narrow, too broad, or both too narrow and too broad depending on the circumstances. Should that happen, there is a danger that certain applications of AI that pose considerable risks would not be considered because they do not fall within a certain more loosely or narrowly defined category or that low-risk applications from one such category are overly regulated. Nevertheless, we see value in option 3a and that is why we are recommending it is pursued, together with options 3b and 2 as discussed above. The value we see is related to regulating certain particular uses of AI, for example, remote biometric identification systems. In such a case the risks are so clear and blatant that comprehensive regulation is, without a doubt, necessary.

From the options put forward, the most appropriate, in our view, is option 3b despite the difficulties with defining different categories of risks accurately and efficiently, which have been repeatedly emphasised and the risks of fragmentation and uncertainty already discussed. While the White Paper does provide two criteria on which risks could be assessed, this is just the beginning of a difficult process of setting out categories of risks which will have to be kept under constant review and flexible enough to allow for modifications where necessary.

From the two criteria provided, we believe that risks should be calculated taking into account the impact on rights and safety rather than the sector and specific use. As we talk about a human-centric approach, it seems only fitting that this should be the case.

On enforcement, The Good Lobby believes that for it to be effective, it needs to combine an ex-ante mechanism, which to allow for the scrutiny and questioning of the design of an AI system with an ex-post approach, to review how the system is actually working and the concrete decisions it produces to allow for correction of legal errors and the intervention of human oversight - or equity and mercy, as described by Lord Sales."
